각암 角巖
각양 各樣
각양각색 各樣各色
각양각식 各樣各式
각양하다 各樣하다
각역 刻役
각역하다 刻役하다
각연증 脚軟症
각연초 刻煙草
각오 覺悟
각오하다 覺悟하다
각왕 覺王
각우 角隅
각운 脚韻
각운동 角運動
각운동량 角運動量
각원 各員
각원 覺苑
각원 閣員
각원 각圓
각위 各位
각위 覺位
각유소장 各有所長
각유일능 各有一能
각의 閣議
각이하다 各異하다
각인 刻印
각인 各人
각인각색 各人各色
각인각양 各人各樣
각인하다 刻印하다
각일각 刻一刻
각자 刻字
각자 各自
각자 覺者
각자도생 各自圖生
각자도생하다 各自圖生하다
각자무치 角者無齒
각자병서 各字竝書
각자위심 各自爲心
각자위심하다 各自爲心하다
각자하다 刻字하다
각잠 刻簪
각장 刻匠
각장 各葬
각장 角壯
각장장판 角壯장판
각장하다 各葬하다
각재 角材
각저 角抵
각저도 角抵圖
각적 角笛
각전 各廛
각전 各殿
각전 角錢
각전궁 各殿宮
각제 覺帝
각종 各種
각좆 角좆
각주 却走
각주 脚注
각주 脚註
각주 角柱
각주구검 刻舟求劍
각주하다 却走하다
각죽 刻竹
각준 恪遵
각준하다 恪遵하다
각줄 角줄
각지 各地
각지 各紙
각지 各誌
각지 覺知
각지 角指
각지기 閣지기
각지하다 覺知하다
각직 閣直
각직 閣職
각질 脚疾
각질 角質
각질층 角質層
각질판 角質板
각질화 角質化
각질화하다 角質化하다
각찬 角粲
각책 刻責
각책 角柵
각책하다 刻責하다
각처 各處
각철장 角鐵杖
각체 各體
각초 刻草
각추 角槌
각추 角錐
각추대 角錐臺
각추렴 各出斂
각추렴하다 各出斂하다
각축 角逐
각축장 角逐場
각축전 角逐戰
각축하다 角逐하다
각출 各出
각출하다 各出하다
각층 各層
각층 角層
각칙 各則
각침 刻針
각침 角針
각타 覺他
각타하다 覺他하다
각태 角胎
각테 角테
각통 各通
각통 脚痛
각통 角筒
각퇴 角槌
각파 各派
각파 脚婆
각판 刻板
각판 刻版
각판본 刻版本
각판하다 刻板하다
각패 角牌
각피 殼皮
각피 角皮
각피소 角皮素
각필 閣筆
각필하다 閣筆하다
각하 刻下
각하 却下
각하 閣下
각하성 脚下聲
각하하다 却下하다
각항 各項
각해 覺海
각행 覺行
각형 角形
각형토기 角形土器
각호 各戶
각혼 各혼
각혼 覺魂
각화 刻花
각화 角化
각화증 角化症
각화하다 刻花하다
각화하다 角化하다
각황 覺皇
각희 脚戱
각희 角戱
각희하다 脚戱하다
각희하다 角戱하다
간 干
간 澗
간 肝
간 艮
간 間
간가 間架
간각 刊刻
간각하다 刊刻하다
간간 懇諫
간간 間間
간간이 間間이
간간하다 侃侃하다
간간하다 懇懇하다
간간하다 懇諫하다
간간히 侃侃히
간간히 懇懇히
간객 看客
간거르다 間거르다
간거리 間거리
간거리장사 間거리장사
간거리하다 間거리하다
간걸 懇乞
간걸하다 懇乞하다
간검 看檢
간검하다 看檢하다
간격 間隔
간격범 間隔犯
간결미 簡潔美
간결성 簡潔性
간결체 簡潔體
간결하다 簡潔하다
간결히 簡潔히
간경 刊經
간경 看經
간경 肝經
간경 間頃
간경도감 刊經都監
간경변증 肝硬變症
간경풍 肝經風
간경하다 刊經하다
간경하다 看經하다
간경하다 簡勁하다
간계 奸計
간계 諫戒
간계하다 諫戒하다
간고 懇告
간고 艱苦
간고하다 懇告하다
간고하다 簡古하다
간고하다 艱苦하다
간고히 艱苦히
간곡 澗谷
간곡선 間曲線
간곡하다 奸曲하다
간곡하다 姦曲하다
간곡하다 懇曲하다
간곡히 奸曲히
간곡히 姦曲히
간곡히 懇曲히
간곤하다 艱困하다
간곤히 艱困히
간과 干戈
간과 看過
간과 諫果
간과하다 看過하다
간관 諫官
간괘 艮卦
간교 刊校
간교 奸巧
간교하다 刊校하다
간교하다 奸巧하다
간교히 奸巧히
간구 干求
간구 懇求
간구하다 干求하다
간구하다 懇求하다
간구하다 艱苟하다
간구히 艱苟히
간국 幹局
간군하다 艱窘하다
간권 懇勸
간권하다 懇勸하다
간균 桿菌
간극 間隙
간근 幹根
간급 間級
간기 刊記
간기 癎氣
간기 肝氣
간기인물 間氣人物
간난 艱難
간난신고 艱難辛苦
간난하다 艱難하다
간난히 艱難히
간납 肝納
간녀 奸女
간년 間年
간년경 間年耕
간년경하다 間年耕하다
간년하다 間年하다
간념 懇念
간농양 肝膿瘍
간뇌 間腦
간뇌도지 肝腦塗地
간뇌도지하다 肝腦塗地하다
간능 幹能
간능스럽다 幹能스럽다
간능스레 幹能스레
간능하다 幹能하다
간다라미술 간다라美術
간단 間斷
간단명료하다 簡單明瞭하다
간단없다 間斷없다
간단없이 間斷없이
간단하다 簡單하다
간단하다 間斷하다
간단히 簡單히
간담 懇談
간담 肝膽
간담상조 肝膽相照
간담상조하다 肝膽相照하다
간담하다 懇談하다
간담회 懇談會
간당 奸黨
간당 看堂
간당살 看堂살
간당틀 看堂틀
간당하다 看堂하다
